codigo pais m49,codigo iso3,pais origen,anio,capitulo,valor dolares cif,valor dolares cif log,continente,region,bloque economico
4,AFG,Afganistán,1980,TOTAL,135485.0,5.131891216,Asia,Asia Meridional,
8,ALB,Albania,1980,TOTAL,1724.0,3.236537261,Europa,Europa Meridional,
276,DEU,Alemania,1980,TOTAL,345741756.0,8.538751833,Europa,Europa Occidental,OCDE
28,ATG,Antigua y Barbuda,1980,TOTAL,90297.0,4.955673322,América,Centroamérica y Caribe,
530,,Antillas Holandesas,1980,TOTAL,166775186.0,8.222131434,América,Centroamérica y Caribe,
682,SAU,Arabia Saudita,1980,TOTAL,3727.0,3.571359393,Asia,Asia Occidental,BRICS
32,ARG,Argentina,1980,TOTAL,43653892.0,7.64002297,América,Sudamérica,
36,AUS,Australia,1980,TOTAL,1267052.0,6.102794439,Oceanía,Oceanía,OCDE
40,AUT,Austria,1980,TOTAL,11267623.0,7.051832308,Europa,Europa Occidental,OCDE
44,BHS,Bahamas,1980,TOTAL,9089897.0,6.958558962,América,Centroamérica y Caribe,
52,BRB,Barbados,1980,TOTAL,28966.0,4.461888526,América,Centroamérica y Caribe,
84,BLZ,Belice,1980,TOTAL,89344.0,4.951065392,América,Centroamérica y Caribe,
60,BMU,Bermuda,1980,TOTAL,6313860.0,6.800294948,América,Centroamérica y Caribe,
68,BOL,Bolivia (Estado Plurinacional de),1980,TOTAL,7318823.0,6.864441244,América,Sudamérica,CAN
72,BWA,Botswana,1980,TOTAL,26037.0,4.415590943,África,Resto de África,
76,BRA,Brasil,1980,TOTAL,124205895.0,8.094142209,América,Sudamérica,BRICS
100,BGR,Bulgaria,1980,TOTAL,2017603.0,6.304835715,Europa,Europa Oriental,
854,BFA,Burkina Faso,1980,TOTAL,5151.0,3.71189155,África,Resto de África,
56,BEL,Bélgica,1980,TOTAL,40701971.0,7.609615441,Europa,Europa Occidental,OCDE
120,CMR,Camerún,1980,TOTAL,66178.0,4.820713638,África,Resto de África,
124,CAN,Canadá,1980,TOTAL,133244571.0,8.124649523,América,América del Norte,OCDE
152,CHL,Chile,1980,TOTAL,82777483.0,7.917912217,América,Sudamérica,OCDE
156,CHN,China,1980,TOTAL,43904235.0,7.642506414,Asia,Asia Oriental,BRICS
196,CYP,Chipre,1980,TOTAL,4313.0,3.634779458,Europa,Europa Meridional,
170,COL,Colombia,1980,TOTAL,370059.0,5.568270971,América,Sudamérica,OCDE
174,COM,Comoras,1980,TOTAL,7321.0,3.864570407,África,Resto de África,
188,CRI,Costa Rica,1980,TOTAL,1221126.0,6.086760478,América,Centroamérica y Caribe,OCDE
384,CIV,Costa de Marfil,1980,TOTAL,117659.0,5.070625153,África,Resto de África,
192,CUB,Cuba,1980,TOTAL,935970.0,5.971261929,América,Centroamérica y Caribe,
208,DNK,Dinamarca,1980,TOTAL,20616231.0,7.314209272,Europa,Europa Septentrional,OCDE
212,DMA,Dominica,1980,TOTAL,71492.0,4.854257447,América,Centroamérica y Caribe,
218,ECU,Ecuador,1980,TOTAL,75502480.0,7.877961217,América,Sudamérica,CAN
818,EGY,Egipto,1980,TOTAL,208967.0,5.320077708,África,Norte de África,BRICS
222,SLV,El Salvador,1980,TOTAL,446756.0,5.650070394,América,Centroamérica y Caribe,
784,ARE,Emiratos Árabes Unidos,1980,TOTAL,45197.0,4.655109609,Asia,Asia Occidental,BRICS
724,ESP,España,1980,TOTAL,149868324.0,8.175709851,Europa,Europa Meridional,OCDE
840,USA,Estados Unidos de América,1980,TOTAL,1649003757.0,9.217221645,América,América del Norte,OCDE
608,PHL,Filipinas,1980,TOTAL,715740.0,5.854755289,Asia,Sudeste Asiático,
246,FIN,Finlandia,1980,TOTAL,19055606.0,7.280022765,Europa,Europa Septentrional,OCDE
250,FRA,Francia,1980,TOTAL,152412349.0,8.183020157,Europa,Europa Occidental,OCDE
266,GAB,Gabón,1980,TOTAL,3981.0,3.599992178,África,Resto de África,
288,GHA,Ghana,1980,TOTAL,49742.0,4.696723243,África,Resto de África,
292,GIB,Gibraltar,1980,TOTAL,118810.0,5.074852996,Europa,Europa Meridional,
300,GRC,Grecia,1980,TOTAL,857246.0,5.933105467,Europa,Europa Meridional,OCDE
312,GLP,Guadalupe,1980,TOTAL,868616.0,5.938827825,América,Centroamérica y Caribe,
320,GTM,Guatemala,1980,TOTAL,950535.0,5.977968113,América,Centroamérica y Caribe,
324,GIN,Guinea,1980,TOTAL,9590.0,3.981818607,África,Resto de África,
328,GUY,Guyana,1980,TOTAL,802753.0,5.904581937,América,Sudamérica,
332,HTI,Haití,1980,TOTAL,300.0,2.477121255,América,Centroamérica y Caribe,
340,HND,Honduras,1980,TOTAL,1806926.0,6.256940367,América,Centroamérica y Caribe,
344,HKG,Hong Kong,1980,TOTAL,3580788.0,6.553978609,Asia,Asia Oriental,
348,HUN,Hungría,1980,TOTAL,681805.0,5.833660182,Europa,Europa Oriental,OCDE
356,IND,India,1980,TOTAL,2814768.0,6.449442605,Asia,Asia Meridional,BRICS
360,IDN,Indonesia,1980,TOTAL,96267.0,4.983477438,Asia,Sudeste Asiático,BRICS
